GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
whitespace-maven-plugin,com.github.hazendaz.maven.whitespace_maven_plugin,HelpMojo,90,683,30,82,18,138,25,47,0,16
whitespace-maven-plugin,com.github.dantwining.whitespace,WhitespaceUtils,9,164,0,26,2,40,0,14,0,1
whitespace-maven-plugin,com.github.dantwining.whitespace,VerifyMojo,0,20,0,0,0,5,0,2,0,2
whitespace-maven-plugin,com.github.dantwining.whitespace,TrimMojo,0,28,0,2,0,8,0,3,0,2
